City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,turkmenbasy,40.0222,52.9552,26.43,83,75,5.14,TM,1691264287
340,colonia menno,-22.3667,-59.8167,36.14,18,0,6.49,PY,1691264288
341,den burg,53.0542,4.7972,15.55,82,100,3.09,NL,1691264288
342,bayeux,-7.125,-34.9322,28.35,69,40,7.2,BR,1691264289
343,seosan,36.7817,126.4522,23.7,89,47,1.72,KR,1691264290
344,brisas de zicatela,15.8369,-97.0419,31.29,55,75,3.09,MX,1691264290
345,tessaoua,13.7574,7.9874,26.74,77,100,9.58,NE,1691264291
346,safi,32.1667,-8.8333,26.41,52,0,4.39,MA,1691264291
347,sena madureira,-9.0656,-68.6569,37.02,25,62,0.19,BR,1691264292
348,tyukhtet,56.5389,89.3011,9.82,75,32,1.39,RU,1691264292
349,hengshui,37.7322,115.7011,22.78,90,0,3.51,CN,1691264293
350,tofol,5.3248,163.0078,28.19,70,33,1.82,FM,1691264293
351,burnie,-41.0667,145.9167,4.14,84,53,3.27,AU,1691264294
352,lashio,22.9333,97.75,20.7,100,100,0.77,MM,1691264294
353,severo-yeniseyskiy,60.3725,93.0408,8.3,98,100,1.54,RU,1691264295
354,cao bang,22.6667,106.25,24.48,99,100,0.03,VN,1691264295
355,cadale,2.7603,46.3222,25.05,81,83,8.05,SO,1691264296
356,revda,56.801,59.9303,18.8,77,93,1.49,RU,1691264296
357,yemetsk,63.4721,41.7941,15.42,97,3,2.26,RU,1691264297
358,champerico,14.3,-91.9167,36.3,62,6,3.09,GT,1691264298
359,kone,-21.0595,164.8658,16.57,88,16,2.39,NC,1691264298
360,alofi,-19.0595,-169.9187,22.94,94,100,1.03,NU,1691264298
361,borgo,46.0514,11.4544,19.03,77,93,0.85,IT,1691264299
362,urzhar,47.093,81.6294,23.71,34,17,2.63,KZ,1691264300
363,soderhamn,61.3037,17.0592,16.09,92,3,0.81,SE,1691264300
364,hami,42.8,93.45,29.07,20,4,4.81,CN,1691264301
